,State_Alpha,Metro_Area_Name,County_Name,2021,2020,2019,2018
496,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,144300,134900
515,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,113300,116300
516,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,113300,93800
519,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,113300,134900
538,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,102600,116300
539,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,102600,93800
542,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,102600,134900
561,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,144300,116300
562,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,144300,93800
565,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,122000,144300,134900
584,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,113300,116300
585,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,113300,93800
588,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,113300,134900
607,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,102600,116300
608,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,102600,93800
611,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,102600,134900
630,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,144300,116300
631,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,144300,93800
634,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,98000,144300,134900
653,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,143400,113300,116300
654,CT,"Bridgeport, CT HUD Metro FMR Area",Fairfield County,100600,143400,113300,93800
