,month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count
3008213,202504,10112,,14498000.0,
3008214,202504,62664,"mason city, il",152450.0,
3008215,202504,88414,"capulin, nm",58000.0,
3008216,202504,35176,"vandiver, al",225500.0,
3008217,202504,30740,"rocky face, ga",325000.0,
3008218,202504,70346,"donaldsonville, la",188875.0,
3008219,202504,78393,"woodsboro, tx",171200.0,
3008195,202504,72730,"farmington, ar",384024.0,
3008194,202504,94803,"el sobrante, ca",767250.0,
3008193,202504,54956,"neenah, wi",418675.0,
3008192,202504,33922,"bokeelia, fl",528500.0,
3008169,202504,70357,"golden meadow, la",131250.0,
3008170,202504,24065,"boones mill, va",446975.0,
3008171,202504,76070,"nemo, tx",542400.0,
3008172,202504,91733,"south el monte, ca",772473.0,
3008173,202504,74330,"adair, ok",369900.0,
3008174,202504,72632,"eureka springs, ar",496000.0,
3008175,202504,39451,"leakesville, ms",148875.0,
3008176,202504,29114,"olanta, sc",225000.0,
3008177,202504,27295,"lexington, nc",346245.0,
3008178,202504,24091,"floyd, va",406950.0,
3008179,202504,46952,"marion, in",158700.0,
3008180,202504,30650,"madison, ga",474950.0,
3008181,202504,66781,"weir, ks",28000.0,
3008182,202504,45381,"west alexandria, oh",188725.0,
3008183,202504,1966,"rockport, ma",1248250.0,
3008184,202504,43605,"toledo, oh",71150.0,
3008185,202504,50314,"des moines, ia",210000.0,
3008186,202504,85145,"red rock, az",315000.0,
3008187,202504,84007,"bluebell, ut",995000.0,
3008188,202504,45118,"fayetteville, oh",302175.0,
3008189,202504,47380,"ridgeville, in",114900.0,
3008190,202504,41180,"webbville, ky",375000.0,
3008191,202504,67437,"downs, ks",117450.0,
3008113,202504,28609,"catawba, nc",507250.0,
3008111,202504,49795,"vanderbilt, mi",255000.0,
3008439,202504,50166,"milo, ia",285000.0,
3008042,202504,70555,"maurice, la",279974.0,
3008031,202504,6060,"north granby, ct",1986200.0,
3008032,202504,19512,"boyertown, pa",289675.0,
3008033,202504,54638,"kendall, wi",269900.0,
3008034,202504,78407,"corpus christi, tx",188875.0,
3008035,202504,29108,"newberry, sc",276350.0,
3008036,202504,47112,"corydon, in",309799.0,
3008037,202504,97062,"tualatin, or",647000.0,
3008038,202504,20002,"washington, dc",649900.0,
3008039,202504,14534,"pittsford, ny",589900.0,
3008040,202504,93645,"o neals, ca",1822500.0,
3008041,202504,54896,"winter, wi",412250.0,
3008043,202504,53713,"madison, wi",352750.0,
3008056,202504,63339,"curryville, mo",786500.0,
3008044,202504,11366,"fresh meadows, ny",1412250.0,
3008045,202504,96120,"markleeville, ca",847000.0,
