,County,State,Avg_house_price,Avg_property_tax,Tax_per_1000
3042,Floyd County,VA,173615.278647464,1023.0014610728449,5.892346969935229
3043,Fluvanna County,VA,242968.35582822087,1507.8895705521472,6.206115053180952
3044,Franklin County,VA,225199.5849933599,1151.2173528109784,5.1119870085236725
3045,Frederick County,VA,237632.99532669075,1274.7156335420157,5.3642198626060935
3046,Giles County,VA,138001.11273257935,860.1605253557096,6.232997026788775
3047,Gloucester County,VA,245929.78816911313,1541.742111277138,6.26903362441382
3048,Goochland County,VA,413093.13316652767,2285.57130942452,5.532823293151068
3049,Grayson County,VA,117344.33943689703,732.48670998228,6.242198929213635
3050,Greene County,VA,255241.9764617971,1796.0022417336074,7.03646894852509
3051,Greensville County,VA,151566.11603545528,626.0676873489122,4.130657324506874
3052,Halifax County,VA,133233.98902969548,720.209948931341,5.405602235408707
3053,Hanover County,VA,284445.84781895706,2129.921285667432,7.487967576250492
3054,Henrico County,VA,256467.66457977614,2042.825523303611,7.965236189329338
3055,Henry County,VA,117745.38632406796,609.3534249864922,5.175178782032126
3056,Highland County,VA,203959.05598243687,1096.0482985729966,5.373864343966068
3057,Isle of Wight County,VA,257351.2688453975,1626.3226893903923,6.319466372506589
3058,James City County,VA,368245.0378346915,2605.262902599922,7.074807899433117
3059,King and Queen County,VA,249547.14757190004,1135.6435643564357,4.550817652721243
3060,King George County,VA,301997.64474975463,1611.6617598953221,5.336669963869417
3061,King William County,VA,247260.38408235993,1790.0811720451395,7.239660241928936
3062,Lancaster County,VA,370089.2068273092,1547.2389558232933,4.180718938245786
3063,Lee County,VA,100856.42795513374,606.9887834339949,6.0183450449386875
3064,Loudoun County,VA,470442.2420920838,5141.746001748128,10.929601004540933
3065,Louisa County,VA,271257.82437241514,1449.0237568529383,5.341868977255917
3066,Lunenburg County,VA,141812.36512102655,794.0507436570429,5.59930541303206
3067,Madison County,VA,322049.7990959317,1519.839276745354,4.719267892766568
3068,Mathews County,VA,342058.89033095393,1526.2816353017522,4.462043462238392
3069,Mecklenburg County,VA,165685.38477891157,843.5374149659864,5.09119990330826
3070,Middlesex County,VA,329995.80059604446,1429.2603630452452,4.331147125095802
3071,Montgomery County,VA,230825.5172413793,1760.8063660477453,7.628300315716098
3072,Nelson County,VA,274590.5832449629,1452.7041357370094,5.29043683352043
